function_ID,run_ID,dim,FEVs,computing_time,comm_time,total_FEs,node_num,GPU_num,island_num,global_pop_size,island_size,interval,migration_rate,connection_rate,buffer_capacity,migration_topology,buffer_manage,regroup_option,EA_parameters
29,10,10,100.000000226419161,5.17,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
29,11,10,100.000000108680524,5.18,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
29,12,10,100.000000313859346,5.17,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
29,13,10,131.745974177149947,5.19,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
29,14,10,100.000000072786861,5.17,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
29,15,10,100.000000026537236,5.16,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
30,1,10,462.307497337647874,3.74,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
30,2,10,462.307122195205011,3.74,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
30,3,10,462.313321239634206,3.75,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
30,4,10,462.308935951636613,3.74,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
30,5,10,454.298478361205525,3.74,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
30,6,10,462.326747177080506,3.74,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
30,7,10,454.303566897729979,3.74,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
30,8,10,462.311043306212923,3.74,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
30,9,10,462.309387506168150,3.74,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
30,10,10,462.310688215835398,3.74,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
30,11,10,462.310012644240487,3.74,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
30,12,10,462.313429230511701,3.74,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
30,13,10,462.312322544299150,3.77,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
30,14,10,462.309189914663875,3.74,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
30,15,10,462.313745515934897,3.75,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
